# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
#,,,,,,,,,,,
# Results of Query: Database VHSDR6 20/02/21 04:33,,,,,,,,,,,
# select #upload.*,#proxtab.distance,ra,dec,jAperMag3,jAperMag3Err, ,,,,,
# hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err from  #upload left,,,,,,,,
# outer join #proxtab on #upload.upload_id=upid left outer join ,,,,,,,,,,,
# vhsSource on vhsSource.sourceID=archiveID   order by ,,,,,,,,,,,
# #upload.upload_id,,,,,,,,,,,
# CROSSID radius: 10.0,,,,,,,,,,,
# CROSSID NEARBY or NEAREST 0 or 1: 0,,,,,,,,,,,
# CROSSID where: ,,,,,,,,,,,
# Column Headers at start of file AND below,,,,,,,,,,,
#,,,,,,,,,,,
# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
31,0.1973813,-76.5169744,0.1862459,0.1975893,-76.5169563,15.470050,0.005063,-9.999995E+08,-9.999995E+08,14.673433,0.010671
31,0.1973813,-76.5169744,8.3353532,0.2072591,-76.5172130,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
31,0.1973813,-76.5169744,0.1431776,0.1975517,-76.5169726,15.458692,0.005170,-9.999995E+08,-9.999995E+08,14.683875,0.010511
32,2.8167301,-79.8116072,0.1517859,2.8169253,-79.8116314,15.338186,0.004683,-9.999995E+08,-9.999995E+08,14.525446,0.009413
32,2.8167301,-79.8116072,8.8249848,2.8079122,-79.8134985,19.943447,0.239705,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
32,2.8167301,-79.8116072,0.1740499,2.8169338,-79.8116394,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,14.540360,0.009058
32,2.8167301,-79.8116072,8.7033485,2.8078478,-79.8134448,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
33,1.7411916,-81.1652272,9.0837368,1.7395225,-81.1627170,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
33,1.7411916,-81.1652272,0.2155326,1.7415814,-81.1652268,16.307526,0.012982,-9.999995E+08,-9.999995E+08,15.612497,0.028843
34,4.5913376,-82.1203964,6.2337060,4.5974077,-82.1188779,19.124996,0.137736,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
34,4.5913376,-82.1203964,8.5501835,4.6085543,-82.1206613,12.409458,0.000837,-9.999995E+08,-9.999995E+08,12.049149,0.001610
34,4.5913376,-82.1203964,9.4404524,4.5954896,-82.1229562,19.640856,0.220839,-9.999995E+08,-9.999995E+08,18.089441,0.251884
34,4.5913376,-82.1203964,8.4525678,4.6082140,-82.1207967,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,13.183948,0.003499
34,4.5913376,-82.1203964,8.5875587,4.6086308,-82.1206609,11.766715,0.000710,-9.999995E+08,-9.999995E+08,10.970260,0.001188
35,4.6183300,-82.1204180,9.0012890,4.6361483,-82.1198847,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
35,4.6183300,-82.1204180,4.8660013,4.6086308,-82.1206609,11.766715,0.000710,-9.999995E+08,-9.999995E+08,10.970260,0.001188
35,4.6183300,-82.1204180,2.4466985,4.6198121,-82.1197694,18.636501,0.146224,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
35,4.6183300,-82.1204180,4.9033992,4.6085543,-82.1206613,12.409458,0.000837,-9.999995E+08,-9.999995E+08,12.049149,0.001610
35,4.6183300,-82.1204180,1.5768480,4.6201153,-82.1200547,19.583443,0.209519,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
35,4.6183300,-82.1204180,5.1752057,4.6082140,-82.1207967,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,13.183948,0.003499
36,3.5213432,-83.4286524,0.0867479,3.5211799,-83.4286372,15.325124,0.007174,-9.999995E+08,-9.999995E+08,14.470900,0.011261
36,3.5213432,-83.4286524,5.1350891,3.5251418,-83.4272939,19.554125,0.198845,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
36,3.5213432,-83.4286524,0.0694874,3.5211996,-83.4286423,15.337747,0.005105,-9.999995E+08,-9.999995E+08,14.464398,0.009698
37,356.0341543,-82.7825370,2.3073212,356.0392475,-82.7825007,16.001518,0.019161,-9.999995E+08,-9.999995E+08,15.737874,0.041263
37,356.0341543,-82.7825370,6.0285699,356.0359685,-82.7841960,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
38,0.2945471,-86.1304147,6.2005436,0.3181690,-86.1297629,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
38,0.2945471,-86.1304147,0.2994475,0.2957742,-86.1304069,15.919012,0.014765,-9.999995E+08,-9.999995E+08,15.253559,0.030313
38,0.2945471,-86.1304147,6.4248335,0.3186215,-86.1296765,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
38,0.2945471,-86.1304147,0.2895175,0.2957321,-86.1304062,15.928599,0.010407,-9.999995E+08,-9.999995E+08,15.205818,0.021844
38,0.2945471,-86.1304147,7.5532572,0.3228460,-86.1312840,19.620750,0.279063,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
39,359.4947484,25.8935638,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
40,0.5472544,31.3832964,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
41,359.9596424,47.7619825,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
42,0.6243126,63.8713870,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
43,358.6487934,74.9426407,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
44,1.9618847,75.6078636,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
45,1.3736079,-13.5424838,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
46,1.0577415,-17.4685211,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
47,2.2071860,-17.6569328,2.5730925,2.2064373,-17.6569754,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
47,2.2071860,-17.6569328,0.5442771,2.2071152,-17.6570681,16.876980,0.016853,-9.999995E+08,-9.999995E+08,17.047500,0.086030
48,2.1847594,1.4574768,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
49,1.0584161,4.7399277,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
50,1.5966078,18.0023762,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
51,1.5195036,-19.0978112,0.9460738,1.5197802,-19.0977842,17.237362,0.021108,-9.999995E+08,-9.999995E+08,17.128828,0.095091
51,1.5195036,-19.0978112,7.4842019,1.5175285,-19.0987271,19.065447,0.107548,-9.999995E+08,-9.999995E+08,17.809430,0.177155
52,1.0634337,-21.6188116,0.2692793,1.0634259,-21.6188860,17.776554,0.050741,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
52,1.0634337,-21.6188116,8.8809433,1.0660022,-21.6181921,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
52,1.0634337,-21.6188116,0.4873501,1.0633548,-21.6189254,17.754290,0.043191,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
52,1.0634337,-21.6188116,8.1071790,1.0620741,-21.6206755,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
53,1.7752233,-23.3334297,0.3757907,1.7753367,-23.3334369,16.361095,0.009544,-9.999995E+08,-9.999995E+08,15.538132,0.019423
53,1.7752233,-23.3334297,1.1557194,1.7752961,-23.3337437,18.946194,0.087294,-9.999995E+08,-9.999995E+08,17.222294,0.111608
54,2.1861155,-26.7498411,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
55,2.5275637,-31.7412683,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
56,1.8535190,-31.4793058,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
57,0.9665806,-31.7820589,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
58,1.8681854,29.2374082,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
59,1.8679368,29.2376949,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
60,2.4943031,-37.7282713,0.5036177,2.4944475,-37.7281905,18.751938,0.060685,-9.999995E+08,-9.999995E+08,17.343363,0.091904
61,1.8102623,37.7257047,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
62,1.3242869,37.6219834,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
63,1.3239426,37.6219468,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
64,1.7322182,-42.7572143,0.3595831,1.7320854,-42.7572360,15.172214,0.005348,14.724834,0.004549,14.489435,0.007299
65,1.1301467,-45.9685126,0.6763651,1.1300019,-45.9683540,16.986559,0.012262,16.270441,0.013658,15.635780,0.017034
65,1.1301467,-45.9685126,0.5955339,1.1300655,-45.9683571,17.005785,0.015016,16.279795,0.012792,15.635953,0.016407
66,2.9418915,-47.2185277,0.5871356,2.9416562,-47.2184953,19.209492,0.091480,19.596636,0.242915,-9.999995E+08,-9.999995E+08
