,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
17,1.1949931999999999,-55.8713976,0.30489429999999995,1.1948689,-55.8713495,15.365567,0.0048259999999999996,14.869029000000001,0.004993,14.574675,0.006156,1.1950526000000001,-55.8713976,0.12005,-0.02465,0.0087,0.0079,14.369000000000002,0.013000000000000001,14.199000000000002,0.016
17,1.1949931999999999,-55.8713976,9.3457281,1.1996093,-55.87157610000001,19.714695000000006,0.128895,-999999500.0,-999999500.0,18.41372,0.235789,1.1950526000000001,-55.8713976,0.12005,-0.02465,0.0087,0.0079,14.369000000000002,0.013000000000000001,14.199000000000002,0.016
17,1.1949931999999999,-55.8713976,0.1696297,1.1949272,-55.8713685,15.406569000000001,0.0038909999999999995,-999999500.0,-999999500.0,14.611235999999998,0.008083,1.1950526000000001,-55.8713976,0.12005,-0.02465,0.0087,0.0079,14.369000000000002,0.013000000000000001,14.199000000000002,0.016
18,359.65596760000005,-55.499753500000004,0.5338122,359.6557152,-55.499792799999994,16.563582999999998,0.010884,16.044922,0.012422,15.548388000000001,0.013641,359.656057,-55.4997535,0.18222,0.02216,0.0133,0.0125,15.199000000000002,0.016,14.91,0.023
23,0.6436194000000001,-59.314673,0.2893408,0.6434763000000001,-59.3146395,16.409052,0.007587999999999998,15.584795999999999,0.00778,14.992653,0.009023,0.6436946,-59.314673,0.13808,-0.02914,0.0084,0.0077,14.505,0.013000000000000001,14.286,0.015
23,0.6436194000000001,-59.314673,8.4497788,0.6436305999999999,-59.3170202,19.236757,0.080118,18.799753,0.126051,18.849672,0.26979699999999995,0.6436946,-59.314673,0.13808,-0.02914,0.0084,0.0077,14.505,0.013000000000000001,14.286,0.015
23,0.6436194000000001,-59.314673,0.192512,0.6435506,-59.314632700000004,16.389689999999998,0.00727,-999999500.0,-999999500.0,14.976223000000001,0.009649,0.6436946,-59.314673,0.13808,-0.02914,0.0084,0.0077,14.505,0.013000000000000001,14.286,0.015
23,0.6436194000000001,-59.314673,8.422805,0.6436173000000001,-59.3170127,19.195326,0.066975,-999999500.0,-999999500.0,18.529055,0.214563,0.6436946,-59.314673,0.13808,-0.02914,0.0084,0.0077,14.505,0.013000000000000001,14.286,0.015
24,359.9603813,-62.3483214,0.1789905,359.96027680000014,-62.348332400000004,15.016031,0.0032530000000000002,-999999500.0,-999999500.0,14.329642000000002,0.006353,359.96045539999994,-62.3483214,0.12385999999999998,0.0118,0.0082,0.0071,14.204,0.013000000000000001,14.015999999999998,0.013999999999999999
25,359.30491010000014,-63.1409354,0.15967620000000002,359.3048209,-63.1409539,12.122198,0.000695,-999999500.0,-999999500.0,11.701199,0.00114,359.3048902,-63.1409354,-0.03229,0.04222,0.0038,0.0034,9.798,0.012,9.573,0.006999999999999999
26,358.9726543,-67.00348570000001,8.1509261,358.976937,-67.0019603,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,358.9727529,-67.0034857,0.13871,-0.02103,0.0091,0.0081,14.654000000000002,0.013999999999999999,14.465,0.016
26,358.9726543,-67.00348570000001,0.2151025,358.9727998,-67.0034673,15.534319,0.005634,-999999500.0,-999999500.0,14.806985999999998,0.011011,358.9727529,-67.0034857,0.13871,-0.02103,0.0091,0.0081,14.654000000000002,0.013999999999999999,14.465,0.016
27,359.81236060000015,-70.1848442,9.7286278,359.80594489999993,-70.1832403,18.270077,0.041164,-999999500.0,-999999500.0,18.328184,0.23651799999999998,359.8124547,-70.1848442,0.11487,-0.01906,0.008,0.006999999999999999,14.265999999999998,0.013999999999999999,14.06,0.013000000000000001
27,359.81236060000015,-70.1848442,0.1560489,359.81242000000015,-70.18480579999999,15.159369,0.003625,-999999500.0,-999999500.0,14.43895,0.007558,359.8124547,-70.1848442,0.11487,-0.01906,0.008,0.006999999999999999,14.265999999999998,0.013999999999999999,14.06,0.013000000000000001
28,358.8304079,-69.7332805,0.0917197,358.83041610000015,-69.7332552,15.346409,0.006645,-999999500.0,-999999500.0,14.555496,0.011618999999999999,358.8305092,-69.7332805,0.12628,0.00197,0.0089,0.0076,14.41,0.013999999999999999,14.27,0.015
29,1.9599077,-70.9914949,0.06623480000000001,1.9599322,-70.9915115,15.54592,0.004737,-999999500.0,-999999500.0,14.768273,0.010221,1.9599991,-70.9914949,0.10712999999999999,-0.00585,0.0097,0.0085,14.628,0.015,14.475999999999999,0.016
30,0.19738129999999998,-76.51697440000002,7.3733879,0.20615799999999998,-76.51688840000001,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,0.197545,-76.5169744,0.13737,0.01828,0.0084,0.0076,14.475999999999999,0.013999999999999999,14.245999999999999,0.013000000000000001
30,0.19738129999999998,-76.51697440000002,0.1862459,0.19758929999999997,-76.51695629999998,15.47005,0.005063000000000001,-999999500.0,-999999500.0,14.673433,0.010671,0.197545,-76.5169744,0.13737,0.01828,0.0084,0.0076,14.475999999999999,0.013999999999999999,14.245999999999999,0.013000000000000001
30,0.19738129999999998,-76.51697440000002,8.3353532,0.2072591,-76.517213,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,0.197545,-76.5169744,0.13737,0.01828,0.0084,0.0076,14.475999999999999,0.013999999999999999,14.245999999999999,0.013000000000000001
30,0.19738129999999998,-76.51697440000002,0.14317760000000002,0.1975517,-76.51697259999997,15.458692000000001,0.00517,-999999500.0,-999999500.0,14.683875,0.010511,0.197545,-76.5169744,0.13737,0.01828,0.0084,0.0076,14.475999999999999,0.013999999999999999,14.245999999999999,0.013000000000000001
31,2.8167301,-79.8116072,0.1517859,2.8169253,-79.8116314,15.338185999999999,0.004683,-999999500.0,-999999500.0,14.525445999999999,0.009413,2.8169396,-79.8116072,0.13343,-0.03247,0.0085,0.0078,14.298,0.016,14.127,0.013999999999999999
