# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err
#,,,,,,,
# Results of Query: Database UHSDR1 16/02/21 03:40,,,,,,,
# select #upload.*,#proxtab.distance,ra,dec,jAperMag3,jAperMag3Err from,,
#  #upload left outer join #proxtab on #upload.upload_id=upid left ,,,,,,,
# outer join uhsSource on uhsSource.sourceID=archiveID   order by ,,,,,,,
# #upload.upload_id,,,,,,,
# CROSSID radius: 10.0,,,,,,,
# CROSSID NEARBY or NEAREST 0 or 1: 0,,,,,,,
# CROSSID where: ,,,,,,,
# Column Headers at start of file AND below,,,,,,,
#,,,,,,,
# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err
68,1.6179985,46.5192859,0.1961067,1.6180763,46.5192957,16.427757,0.016031
68,1.6179985,46.5192859,7.4275983,1.6159105,46.5207667,16.202402,0.013478
69,3.3092405,-50.3534861,0E+00,0E+00,0E+00,0E+00,0E+00
70,2.0226604,-51.4438538,0E+00,0E+00,0E+00,0E+00,0E+00
71,1.3358821,-50.9359952,0E+00,0E+00,0E+00,0E+00,0E+00
72,2.0879122,52.0685204,5.8565940,2.0890356,52.0670474,17.459540,0.032984
72,2.0879122,52.0685204,0.3656334,2.0879107,52.0686220,16.505314,0.015355
73,1.3909773,-54.7446775,0E+00,0E+00,0E+00,0E+00,0E+00
74,3.5002621,-56.5311816,0E+00,0E+00,0E+00,0E+00,0E+00
75,1.5206779,-59.6854941,0E+00,0E+00,0E+00,0E+00,0E+00
76,2.8755286,59.1394271,0.9188426,2.8750323,59.1394089,10.701192,0.000659
76,2.8755286,59.1394271,5.4146891,2.8782582,59.1388777,17.745430,0.048501
77,2.8756281,59.1394054,1.1001710,2.8750323,59.1394089,10.701192,0.000659
77,2.8756281,59.1394054,5.2152466,2.8782582,59.1388777,17.745430,0.048501
78,3.6969624,-1.9083289,0E+00,0E+00,0E+00,0E+00,0E+00
79,2.4426980,-4.0860344,0E+00,0E+00,0E+00,0E+00,0E+00
80,3.4493603,-4.9609554,0E+00,0E+00,0E+00,0E+00,0E+00
81,3.7105619,-8.6401579,0E+00,0E+00,0E+00,0E+00,0E+00
82,3.7107572,-8.6401385,0E+00,0E+00,0E+00,0E+00,0E+00
83,3.7087815,-8.6411676,0E+00,0E+00,0E+00,0E+00,0E+00
84,1.6153190,-60.4642282,0E+00,0E+00,0E+00,0E+00,0E+00
85,2.4723726,-60.7879247,0E+00,0E+00,0E+00,0E+00,0E+00
86,2.5350825,2.3035753,0E+00,0E+00,0E+00,0E+00,0E+00
87,2.7537306,4.3384923,0E+00,0E+00,0E+00,0E+00,0E+00
88,3.4781920,6.5792767,0E+00,0E+00,0E+00,0E+00,0E+00
89,2.3171302,9.0050414,0E+00,0E+00,0E+00,0E+00,0E+00
90,2.4254659,-14.2108430,0E+00,0E+00,0E+00,0E+00,0E+00
91,3.5510203,-13.1866811,0E+00,0E+00,0E+00,0E+00,0E+00
92,3.5519633,-13.1853965,0E+00,0E+00,0E+00,0E+00,0E+00
93,4.6080592,-62.2713929,0E+00,0E+00,0E+00,0E+00,0E+00
94,3.7196977,13.9084253,0E+00,0E+00,0E+00,0E+00,0E+00
95,3.7886185,15.4989071,0E+00,0E+00,0E+00,0E+00,0E+00
96,2.7713975,18.9058217,0.3376886,2.7713138,18.9058721,15.068637,0.005745
97,3.1443458,21.7051352,8.6038906,3.1423847,21.7035885,19.760761,0.243890
97,3.1443458,21.7051352,0.8083751,3.1442563,21.7053438,10.859790,0.000640
97,3.1443458,21.7051352,5.7334384,3.1429940,21.7041558,18.505407,0.078778
98,1.7450953,-63.4692827,0E+00,0E+00,0E+00,0E+00,0E+00
99,2.8219056,-63.7018264,0E+00,0E+00,0E+00,0E+00,0E+00
100,2.4634223,-63.4424460,0E+00,0E+00,0E+00,0E+00,0E+00
101,3.2430714,23.7966415,0.0623387,3.2430670,23.7966583,15.362129,0.007382
102,4.1966773,-30.2674242,0E+00,0E+00,0E+00,0E+00,0E+00
103,2.7579373,-65.2546277,0E+00,0E+00,0E+00,0E+00,0E+00
104,3.5421774,-32.4697270,0E+00,0E+00,0E+00,0E+00,0E+00
105,2.9632128,31.2224238,0E+00,0E+00,0E+00,0E+00,0E+00
106,3.5903435,-36.4584287,0E+00,0E+00,0E+00,0E+00,0E+00
107,4.3114596,-40.9102684,0E+00,0E+00,0E+00,0E+00,0E+00
108,4.4119393,-68.5965340,0E+00,0E+00,0E+00,0E+00,0E+00
109,3.8654663,-42.8186384,0E+00,0E+00,0E+00,0E+00,0E+00
110,4.1451108,-42.9820779,0E+00,0E+00,0E+00,0E+00,0E+00
111,3.4390639,-69.0656749,0E+00,0E+00,0E+00,0E+00,0E+00
112,3.7752883,-46.2557620,0E+00,0E+00,0E+00,0E+00,0E+00
113,4.5538455,-47.5032837,0E+00,0E+00,0E+00,0E+00,0E+00
114,3.7401794,-48.7361080,0E+00,0E+00,0E+00,0E+00,0E+00
