upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
2839,153.75614009999995,8.1042853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.7560867,8.1042853,-0.19025,0.04608,0.0134,0.0153,15.035,0.027000000000000003,14.833,0.039
2840,154.3368751,-1.7319775000000002,0.3994136,154.3367826,-1.7320388,15.196593,0.004154,-999999500.0,-999999500.0,14.472481,0.009399,154.3368332,-1.7319775000000002,-0.15075,-0.11348,0.0092,0.01,14.421,0.016,14.282,0.019
2841,154.0264735,-1.3212498,0.7083536,154.02627980000003,-1.3212147,14.806713,0.003161,-999999500.0,-999999500.0,14.633188,0.011075,154.0262287,-1.3212498,-0.8810399999999999,0.08822999999999999,0.0205,0.0234,15.334,0.02,15.362,0.04
2842,155.1170425,-40.3009958,0.937422,155.11738300000005,-40.3010147,16.8341,0.023232,-999999500.0,-999999500.0,15.845165,0.037396,155.11695269999996,-40.300995799999995,-0.24649,0.03234,0.0163,0.0187,15.417,0.025,15.151,0.034
2843,154.5160696,-68.71450899999999,1.0616313,154.5152573,-68.714507,19.083735,0.150268,-999999500.0,-999999500.0,-999999500.0,-999999500.0,154.51565369999997,-68.71450899999999,-0.5435,0.45798,0.0314,0.0321,17.357,0.054000000000000006,15.5,0.029
2844,154.15700869999995,2.5503145000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.1569812,2.5503145000000003,-0.0989,-0.15641,0.0118,0.0136,14.917,0.017,14.597,0.023
2845,153.8060741,40.9097461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.8059598,40.9097461,-0.31099,-0.22746,0.0038,0.0039,8.73,0.012,8.559,0.008
2846,157.2635281,77.67319429999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.26342830000004,77.67319429999999,-0.07672999999999999,-0.01725,0.006999999999999999,0.0077,14.328,0.014,14.132,0.014
2847,155.1432215,12.481433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.1432385,12.481433,0.05981,-0.33203,0.0316,0.0365,16.131,0.032,15.859000000000002,0.062
2848,154.2305523,-30.4795771,0.33712600000000004,154.2305571,-30.4794835,18.825033,0.120747,-999999500.0,-999999500.0,-999999500.0,-999999500.0,154.2303112,-30.4795771,-0.74797,0.6654800000000001,0.0902,0.0957,17.789,0.127,15.869000000000002,0.062
