upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,ksAperMag3,ksAperMag3Err,yAperMag3,yAperMag3Err
3048,162.69667880000003,24.3768971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3049,162.8510196,54.2335259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3050,163.80085880000001,54.72451829999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051,163.8009695,54.724619700000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3052,163.593837,32.7138994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3053,162.9750618,33.701411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3054,164.769677,42.573855200000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3055,163.9760104,-8.9541938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3056,164.103027,-8.372218400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3057,164.7631694,26.802055699999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3058,163.4549335,-46.044177000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3059,163.99029119999997,32.3444603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3060,164.52139350000002,36.174399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3061,163.70234530000002,48.617090999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3062,164.92696909999998,64.9474217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3063,163.035244,65.8644776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3064,164.6882522,-12.8855654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3065,165.0102966,-22.247171100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3066,164.815224,-28.3325229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3067,164.8217849,28.958455999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3068,164.4335273,40.1210811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3069,163.8461345,52.159651399999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3070,164.2454528,-10.016832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3071,164.18570019999999,-21.2645875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072,165.33768369999999,21.6175215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3073,164.98508230000002,-7.359143899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3074,164.3936296,-7.522687599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3075,164.77649350000002,1.0328206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3076,165.33609919999998,3.0030883999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3077,165.3361294,3.0028875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3078,165.3344628,3.0034302999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3079,164.727048,50.3274746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3080,165.60772790000001,-17.281414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3081,164.9886888,-26.143929699999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3082,164.5382091,17.358919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3083,164.8394865,17.329322199999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3084,164.45343280000003,25.531134100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3085,163.61672240000001,60.3613969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3086,165.7718285,30.942013800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
