upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
3001,161.571524,23.2457119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3002,160.2575083,58.7095666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3003,161.6827137,-12.928465,0.5941419,161.68283290000005,-12.9283478,15.061884,0.003817,14.598412,0.00456,14.387593,0.008975
3004,161.1908416,-14.215406,3.5118991000000004,161.19134499999996,-14.216250699999998,15.615978,0.005551,15.124837,0.008234,14.88562,0.012634
3004,161.1908416,-14.215406,0.2127681,161.190823,-14.215462300000002,-999999500.0,-999999500.0,18.881853,0.235797,17.657999,0.15178699999999998
3005,161.0144089,21.0858642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3006,161.96637119999997,21.4041472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3007,161.23913159999995,-6.981400999999999,2.3825625,161.23846509999996,-6.981382400000001,18.708820000000006,0.142484,18.252302,0.17233900000000002,17.558474,0.17223
3007,161.23913159999995,-6.981400999999999,2.1315727000000004,161.23971609999995,-6.9812825,16.092026,0.013854,15.701699,0.017212,15.483139,0.026285000000000003
3008,162.07564019999995,-19.4263547,0.7346265000000001,162.0754809,-19.426216600000004,14.817552,0.002862,-999999500.0,-999999500.0,13.788215,0.00468
3008,162.07564019999995,-19.4263547,6.645272099999999,162.0774263,-19.4271098,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3008,162.07564019999995,-19.4263547,4.761277099999999,162.076628,-19.4272935,19.442055,0.114852,-999999500.0,-999999500.0,17.749784,0.146412
3008,162.07564019999995,-19.4263547,7.1789607,162.0755071,-19.4283449,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3009,161.186372,20.3656093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3010,161.692832,-41.7780324,0.8207488000000002,161.69257919999995,-41.7779042,15.208528,0.004409000000000001,-999999500.0,-999999500.0,14.982333,0.014111000000000004
3010,161.692832,-41.7780324,0.7543033,161.6926024,-41.7779117,15.194204,0.005035,-999999500.0,-999999500.0,14.983519,0.013811000000000002
3011,161.3279862,-41.7135891,0.7394991999999999,161.32824340000005,-41.71366210000001,17.407413000000002,0.03045,-999999500.0,-999999500.0,16.290312,0.043001
3011,161.3279862,-41.7135891,7.7297035,161.3252831,-41.7143231,19.545948000000006,0.209682,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3012,161.56813390000005,30.0970277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3013,161.16155930000005,-1.8915647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3014,160.93728969999995,-44.914218,0.6244204000000001,160.9375283,-44.9141789,17.214306,0.024661,-999999500.0,-999999500.0,15.674316,0.023097
3014,160.93728969999995,-44.914218,5.2171767,160.9379944,-44.9155786,19.444847,0.176256,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3014,160.93728969999995,-44.914218,0.6709368,160.9375483,-44.9141835,17.203577,0.02398,-999999500.0,-999999500.0,15.671395,0.023852
3014,160.93728969999995,-44.914218,5.4621733,160.9380195,-44.9156445,19.27943,0.148577,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3014,160.93728969999995,-44.914218,7.8334053,160.94008469999997,-44.9133142,-999999500.0,-999999500.0,-999999500.0,-999999500.0,17.869373,0.174032
3015,161.7017946,-0.2798213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3016,161.85826219999996,45.8377437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3017,161.8179874,-47.7953579,2.4509668,161.817004,-47.7955224,18.183464,0.08623,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3017,161.8179874,-47.7953579,3.4227164,161.8193034,-47.79570770000001,14.362916,0.004198,-999999500.0,-999999500.0,13.694183,0.006544
3017,161.8179874,-47.7953579,0.1092695,161.8179582,-47.7953347,-999999500.0,-999999500.0,-999999500.0,-999999500.0,16.937105,0.113775
3017,161.8179874,-47.7953579,3.5029801,161.8193395,-47.7957069,14.284154999999998,0.004626,-999999500.0,-999999500.0,13.694144,0.006014
3017,161.8179874,-47.7953579,2.3483753,161.8170494,-47.7955267,18.068613,0.094838,-999999500.0,-999999500.0,17.608925,0.190695
3018,162.23628119999995,-71.5605345,4.5186657,162.2376554,-71.55935699999998,18.136227,0.078291,-999999500.0,-999999500.0,17.710098000000006,0.267706
3018,162.23628119999995,-71.5605345,1.1168781,162.2359604,-71.5608277,14.978431,0.00527,-999999500.0,-999999500.0,14.187856,0.011209
3018,162.23628119999995,-71.5605345,6.6642416,162.235011,-71.5623416,16.888409,0.025609,-999999500.0,-999999500.0,16.6356,0.100026
3019,162.76424450000005,-50.8798938,0.3448718,162.76428869999995,-50.8799854,11.243615,0.0005139999999999999,-999999500.0,-999999500.0,10.539047,0.000699
3020,162.57651919999995,-68.5152193,1.1683597,162.57563340000004,-68.51522779999999,17.59311,0.043358,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3020,162.57651919999995,-68.5152193,9.1534645,162.570046,-68.5161382,18.246233,0.07824600000000001,-999999500.0,-999999500.0,17.35925,0.14039300000000002
3020,162.57651919999995,-68.5152193,5.2832516,162.57754619999997,-68.5166379,15.812234,0.00918,-999999500.0,-999999500.0,15.39121,0.023611
3021,163.1404263,40.72054960000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3022,162.69892040000005,50.9348766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3023,162.68685390000005,-9.3496485,1.0691612,162.6868645,-9.3493517,16.037167,0.008697,15.295173000000002,0.009655,14.69333,0.010244
3024,162.5527479,8.8547939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3025,162.5434331,-6.654574900000001,8.6462276,162.5457823,-6.6540059000000005,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3025,162.5434331,-6.654574900000001,7.9123715,162.5419253,-6.6561835999999985,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3025,162.5434331,-6.654574900000001,0.9013575,162.54350459999995,-6.6543348,11.42129,0.000605,11.63458,0.000795,10.917346,0.000902
3025,162.5434331,-6.654574900000001,6.639769900000001,162.5425094,-6.652974900000001,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3025,162.5434331,-6.654574900000001,5.8294321,162.54464119999997,-6.6556622,18.048035,0.047207,17.76269,0.062648,-999999500.0,-999999500.0
3025,162.5434331,-6.654574900000001,9.3366785,162.5431209,-6.652,-999999500.0,-999999500.0,19.08815,0.209219,-999999500.0,-999999500.0
3025,162.5434331,-6.654574900000001,8.9084406,162.5426927,-6.6522121,-999999500.0,-999999500.0,18.871574,0.171632,-999999500.0,-999999500.0
3025,162.5434331,-6.654574900000001,9.1590659,162.5412154,-6.6533018,-999999500.0,-999999500.0,19.186892,0.22899999999999998,-999999500.0,-999999500.0
3025,162.5434331,-6.654574900000001,8.5631045,162.5411489,-6.653860400000001,-999999500.0,-999999500.0,18.846308,0.167694,-999999500.0,-999999500.0
3025,162.5434331,-6.654574900000001,8.5651186,162.5428207,-6.656875,-999999500.0,-999999500.0,18.851164,0.168447,-999999500.0,-999999500.0
3026,160.599148,-83.8229965,1.9285167,160.594731,-83.8227493,16.588070000000002,0.014824,-999999500.0,-999999500.0,15.803021,0.036644
3027,163.0182681,6.2916952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3028,163.80394209999997,-55.31707829999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3029,162.8803257,-14.6714326,0.8635136999999998,162.8805736,-14.6714282,17.268848000000002,0.019465,16.420826,0.019839,15.878532,0.029228
3030,163.2027509,15.8425894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3031,162.6043086,53.1596735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3032,163.1225129,-28.8519162,0.0688705,163.1225231,-28.8519331,15.706233,0.006351,-999999500.0,-999999500.0,14.704828,0.011575
3033,163.5880087,22.4324226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3034,162.6896494,28.1197067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3035,162.3351747,-14.3393253,0.3826506,162.33527859999995,-14.3393595,17.363914,0.022711,16.416179999999994,0.024601,15.648213,0.025215
3036,162.5442304,-14.0769539,0.686919,162.54442350000005,-14.0769174,17.032610000000002,0.016846,16.756501999999998,0.032454000000000004,16.357128,0.046787
3037,163.25401619999997,-13.7494297,6.8006283,163.2534087,-13.747635199999998,-999999500.0,-999999500.0,18.800562,0.150515,-999999500.0,-999999500.0
3037,163.25401619999997,-13.7494297,6.8501742,163.2522509,-13.7502546,-999999500.0,-999999500.0,19.196276,0.21611100000000005,-999999500.0,-999999500.0
3038,162.8752795,-21.6501076,0.4191038,162.8752207,-21.6500048,18.611876,0.08367899999999999,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3038,162.8752795,-21.6501076,2.8870639,162.8760024,-21.6505454,19.6564,0.215624,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3039,162.43279019999997,10.011823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3040,162.7356852,21.7348546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3041,163.2418066,-19.7144075,0.7611437,163.2417031,-19.7142199,16.882727,0.013744,-999999500.0,-999999500.0,17.154734,0.08142
3042,162.6535383,-25.790925100000006,0.7516901,162.65375,-25.7910103,16.468967000000006,0.014103,-999999500.0,-999999500.0,15.777315,0.027281
3042,162.6535383,-25.790925100000006,4.0163137,162.6525385,-25.7915842,18.4091,0.073818,-999999500.0,-999999500.0,17.57389,0.13885699999999998
3043,162.8664544,18.2770828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3044,162.8912536,-17.3816801,0.3930872,162.89133169999997,-17.3816003,17.235342000000006,0.022323,-999999500.0,-999999500.0,15.793128,0.024885
3044,162.8912536,-17.3816801,0.3066474,162.8912967,-17.3816055,17.26001,0.021453,-999999500.0,-999999500.0,15.729876999999998,0.022578
3045,163.9721251,-16.870776899999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3046,163.9729861,-16.871152300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3047,163.294904,23.9268415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3048,162.69667880000003,24.3768971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3049,162.8510196,54.2335259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3050,163.8008588,54.72451829999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051,163.8009695,54.72461970000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3052,163.593837,32.7138994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3053,162.9750618,33.701411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3054,164.769677,42.5738552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3055,163.9760104,-8.9541938,0.34800390000000003,163.9761082,-8.9541903,15.785056,0.020283,15.379093,0.017734,15.065854000000002,0.024797
3055,163.9760104,-8.9541938,7.9682942,163.9766269,-8.956321800000003,-999999500.0,-999999500.0,18.241932,0.238956,-999999500.0,-999999500.0
3055,163.9760104,-8.9541938,6.1959469,163.9764467,-8.955860099999997,18.761293,0.299024,-999999500.0,-999999500.0,17.300299,0.187654
3055,163.9760104,-8.9541938,6.2859733,163.976241,-8.955925,-999999500.0,-999999500.0,18.236475,0.23778600000000005,-999999500.0,-999999500.0
3056,164.103027,-8.372218400000001,0.7344298,164.10291999999995,-8.372044,16.531948,0.014381,16.171915,0.023907,15.744246,0.024354
3057,164.7631694,26.8020557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3058,163.4549335,-46.04417700000001,2.670131,163.4558997,-46.0444938,18.639942,0.104904,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3058,163.4549335,-46.04417700000001,6.6687974,163.45749640000003,-46.0446937,18.981106,0.142657,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3058,163.4549335,-46.04417700000001,3.0270605,163.4543637,-46.044919,18.595993,0.100911,-999999500.0,-999999500.0,17.764226999999995,0.194779
3058,163.4549335,-46.04417700000001,9.2876325,163.4523158,-46.0460086,16.722786,0.02018,-999999500.0,-999999500.0,16.336079,0.053009
3058,163.4549335,-46.04417700000001,2.5897583,163.4558609,-46.0444982,18.583328,0.104894,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3058,163.4549335,-46.04417700000001,6.599733500000001,163.4574749,-46.0446761,19.19192,0.181721,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3058,163.4549335,-46.04417700000001,3.1434526000000003,163.454289,-46.0449269,18.657553,0.112127,-999999500.0,-999999500.0,-999999500.0,-999999500.0
3058,163.4549335,-46.04417700000001,9.3506024,163.4522879,-46.046014,16.723913,0.020991,-999999500.0,-999999500.0,16.252777,0.048126
3059,163.99029119999997,32.3444603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3060,164.52139350000004,36.174399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3061,163.70234530000005,48.617091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3062,164.92696909999995,64.9474217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3063,163.035244,65.8644776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3064,164.6882522,-12.8855654,0.17634149999999998,164.6883019,-12.8855724,15.994338,0.014088,15.5386,0.016238,15.289854,0.037329
3065,165.0102966,-22.247171100000006,0.0777801,165.01027539999995,-22.2471801,16.243303,0.009309,-999999500.0,-999999500.0,15.149632,0.01623
3065,165.0102966,-22.247171100000006,0.0499533,165.0102821,-22.2471746,16.272768,0.008846,-999999500.0,-999999500.0,15.145569,0.014054
3066,164.815224,-28.3325229,0.06358290000000001,164.8152169,-28.3325064,15.898987,0.007665000000000002,-999999500.0,-999999500.0,15.648153,0.027593
3067,164.8217849,28.958456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3068,164.4335273,40.1210811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3069,163.8461345,52.1596514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
