upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err
70,164.2454528,-10.0168320,0E+00,0E+00,0E+00,0E+00,0E+00
71,164.1857002,-21.2645875,0E+00,0E+00,0E+00,0E+00,0E+00
72,165.3376837,21.6175215,0.2071176,165.3377384,21.6175484,16.681425,0.017069
72,165.3376837,21.6175215,7.5853964,165.3364837,21.6193090,19.135950,0.140249
73,164.9850823,-7.3591439,0E+00,0E+00,0E+00,0E+00,0E+00
74,164.3936296,-7.5226876,0E+00,0E+00,0E+00,0E+00,0E+00
75,164.7764935,1.0328206,0E+00,0E+00,0E+00,0E+00,0E+00
76,165.3360992,3.0030884,0E+00,0E+00,0E+00,0E+00,0E+00
77,165.3361294,3.0028875,0E+00,0E+00,0E+00,0E+00,0E+00
78,165.3344628,3.0034303,0E+00,0E+00,0E+00,0E+00,0E+00
79,164.7270480,50.3274746,0.3993253,164.7272032,50.3275245,18.908434,0.106445
79,164.7270480,50.3274746,8.8838929,164.7268542,50.3250100,12.186125,0.001412
80,165.6077279,-17.2814140,0E+00,0E+00,0E+00,0E+00,0E+00
81,164.9886888,-26.1439297,0E+00,0E+00,0E+00,0E+00,0E+00
82,164.5382091,17.3589190,0.5296105,164.5382065,17.3590661,15.265417,0.006434
83,164.8394865,17.3293222,0.3054920,164.8395442,17.3293868,15.862186,0.008587
84,164.4534328,25.5311341,0.3317413,164.4534358,25.5312262,15.793211,0.009959
85,163.6167224,60.3613969,0E+00,0E+00,0E+00,0E+00,0E+00
86,165.7718285,30.9420138,0.2376959,165.7717773,30.9420631,16.606693,0.018584
87,169.2522163,-81.0510993,0E+00,0E+00,0E+00,0E+00,0E+00
88,165.0877899,9.7813146,0E+00,0E+00,0E+00,0E+00,0E+00
89,164.9040969,-5.5081990,0E+00,0E+00,0E+00,0E+00,0E+00
90,165.0903498,46.6397029,9.0421131,165.0934739,46.6383962,18.431973,0.092693
90,165.0903498,46.6397029,0.3227036,165.0903945,46.6397871,17.389576,0.037256
90,165.0903498,46.6397029,0.1419675,165.0904068,46.6396983,17.410270,0.031476
90,165.0903498,46.6397029,9.0928467,165.0934511,46.6383443,18.529045,0.082238
91,165.7836113,15.2973503,9.2986812,165.7823818,15.2950557,19.284756,0.225789
91,165.7836113,15.2973503,0.4929241,165.7837213,15.2974369,10.452365,0.000616
92,165.4368144,-13.8367587,0E+00,0E+00,0E+00,0E+00,0E+00
93,166.3620145,-13.2044943,0E+00,0E+00,0E+00,0E+00,0E+00
94,166.1464958,12.9623996,0E+00,0E+00,0E+00,0E+00,0E+00
95,165.9264265,36.5293902,0.3663555,165.9263613,36.5294774,10.645598,0.000621
96,165.1792793,36.4076539,9.9776617,165.1827197,36.4077763,18.072773,0.063141
96,165.1792793,36.4076539,0.2721256,165.1792687,36.4077290,15.334289,0.007235
97,166.8246806,40.8361030,6.6349285,166.8269878,40.8355117,19.447304,0.191524
97,166.8246806,40.8361030,0.1144458,166.8246734,40.8361343,10.855665,0.000676
98,165.5725353,41.2150502,1.9496402,165.5724732,41.2155898,17.123642,0.028432
99,165.5955020,45.6942403,6.0772123,165.5974077,45.6932021,18.549112,0.090540
99,165.5955020,45.6942403,0.3574704,165.5955159,45.6943391,15.631434,0.008574
99,165.5955020,45.6942403,5.6327718,165.5965266,45.6956317,18.477205,0.084915
100,166.6780813,58.2057804,0.2699506,166.6780607,58.2057062,15.269891,0.006526
101,164.9471168,56.9241505,0.1516677,164.9471013,56.9241092,15.197860,0.006565
101,164.9471168,56.9241505,5.5248562,164.9474535,56.9256741,19.217627,0.170216
102,165.2968807,57.3877267,0.1527719,165.2968022,57.3877303,15.226024,0.006064
103,166.9596052,-34.3512543,0E+00,0E+00,0E+00,0E+00,0E+00
104,167.0015102,7.2712477,0E+00,0E+00,0E+00,0E+00,0E+00
105,166.5368786,28.5968284,4.5208115,166.5358425,28.5976941,16.385632,0.016514
105,166.5368786,28.5968284,0.2631671,166.5368528,28.5968979,15.521794,0.008771
105,166.5368786,28.5968284,0.1859650,166.5368484,28.5968727,15.549806,0.008333
